,lat,lng
Alamo Square,37.7774994,-122.433252
Anza Vista,37.7808685,-122.4431851
Ashbury,37.7692204,-122.4481393
Balboa Hollow,37.7771598,-122.4650762
Balboa Terrace,37.7313335,-122.4686612
Bayview,37.730416,-122.384424
Bernal,37.7411622,-122.4178378
Buena Vista,37.7655998,-122.442166
Castro,37.7609082,-122.4350043
China Basin,37.778852,-122.392764
Chinatown,37.7941378,-122.4077914
Civic Center,37.7815533,-122.4156427
Cole Valley,37.7650406,-122.4502301
College Hill,37.7372128,-122.4228224
Cow Hollow,37.798033,-122.4396463
Diamond Heights,37.7423723,-122.4424773
Dolores Heights,37.7573107,-122.4331655
Downtown,37.7815533,-122.4156427
Duboce,37.7676788,-122.4318604
Duboce Triangle,37.7676788,-122.4318604
Embarcadero,37.7992627,-122.3976732
Eureka Valley,37.7609082,-122.4350043
Excelsior,37.7244152,-122.4272295
Fillmore District,37.786997,-122.4368151
Financial District,37.7945742,-122.3999445
Fishermans Wharf,37.8079996,-122.4177434
Forest Hill,37.7473152,-122.4651232
Forest Knolls,37.7585879,-122.4594622
Fort Mason,37.8074131,-122.4304447
Glen,37.7377715,-122.4321041
Glen Park,37.7377715,-122.4321041
Golden Gate Heights,37.7527187,-122.4707839
Haight,37.7692204,-122.4481393
Hayes Valley,37.7759073,-122.4245247
Hunters Point,37.730416,-122.384424
Ingleside,37.7198213,-122.4538009
Ingleside Terrace,37.7198213,-122.4538009
Inner Richmond,37.7798704,-122.4647458
Inner Sunset,37.7607369,-122.4679536
Japantown,37.7854135,-122.429383
Lake Shore,37.7233167,-122.4886792
Lake Street,37.7856849,-122.4700763
Lakeside,37.7264914,-122.4734472
Laurel Heights,37.7841497,-122.4538009
Lone Mountain,37.7770049,-122.4538009
Marina,37.8036667,-122.4368151
Merced Heights,37.7193504,-122.4716529
Merced Manor,37.733048,-122.4785669
Mid Market,37.7804684,-122.412455
Midtown Terrace,37.7508014,-122.4538009
Mission,37.7598648,-122.4147977
Mission Bay,37.7730963,-122.3929225
Monterey Heights,37.7323209,-122.4615851
Mount Davidson,37.739132,-122.4540461
Mount Davidson Manor,37.7283105,-122.4630004
NOPA,37.7757272,-122.4424773
Nob Hill,37.793014,-122.416113
Noe,37.7502378,-122.4337029
North Beach,37.8060532,-122.4103311
Oceanview,37.7141828,-122.4566316
Pac Heights,37.7925153,-122.4382307
Panhandle,37.7728515,-122.4460161
Parkmerced,37.7182928,-122.481024
Parkside,37.733048,-122.4785669
Portola,37.7297408,-122.4099154
Portola Place,37.7279525,-122.3976456
Potrero,37.7604929,-122.400869
Presidio,37.7988737,-122.4661937
Presidio Heights,37.7889125,-122.4538009
Presidio Terrace,37.7882626,-122.460805
Richmond,37.7796734,-122.482907
Rincon Hill,37.7872962,-122.3919209
Russian Hill,37.8010963,-122.4195558
SOMA,37.7785189,-122.4056395
Saint Francis Wood,37.7377845,-122.4651232
Seacliff,37.785941,-122.4907
Silver Terrace,37.7332209,-122.3985871
Somisspo,37.76899,-122.4058284
South Beach,37.7835826,-122.3899066
Sunnydale,37.7107269,-122.4192308
Sunnyside,37.7299104,-122.4442888
Telegraph Hill Neighborhood,37.8013407,-122.4056674
Tenderloin,37.7846598,-122.4145058
Twin Peaks,37.7544066,-122.4476845
Upper Market,37.7543235,-122.443555
Visitacion,37.7171754,-122.4042514
West Portal,37.7416783,-122.4679536
Western Addition,37.7822112,-122.4341781
Westwood Highlands,37.7332501,-122.4566316
Westwood Park,37.7261005,-122.4566316
